-0.377568 -0.375286 -0.207159 0.820785
-0.0846262 0.990705 0.0864544 0.0621791
0 0 0 1
0 0 0 1
0.251936 0.601493 -0.352413 0.671222
0.0158484 0.0947135 -0.0156422 -0.995255
-0.217713 -0.281283 0.00182161 0.9346
-0.339792 0.320906 0.132143 0.874127
-0.036762 0.35064 0.141432 0.925039
-0.300859 0.39834 0.157902 0.851983
-0.272249 0.331945 0.179715 0.885097
0 0 0 1
0 0 0 1
0 0 0 1
0 0 0 1
-0.193066 0.441919 0.234467 0.844072
-0.168828 0.236164 0.0295615 0.956479
-0.101865 -0.359037 0.0227556 0.927469
-0.30531 -0.472682 0.373042 -0.737696
0 0 0 1
0 0 0 1
0 0 0 1
0 0 0 1
0 0 0 1
0 0 0 1
0 0 0 1
0 0 0 1
0.657126 -0.313917 -0.0882842 0.679594
0 0 0 1
0 0 0 1
0 0 0 1
-0.0350799 0.618647 0.000875288 0.784885
0 0 0 1
0 0 0 1
0 0 0 1
0 0 0 1
0.200006 -0.917314 -0.0608018 -0.338875
0.00941562 0.299892 0.0845776 0.95017
0 0 0 1
-0.0277159 0.523201 -0.122926 -0.842842
-0.134729 0.599564 0.224918 0.756163
0.0538978 -0.955835 -0.0544496 -0.283745
-0.0144835 -0.553519 -0.0173707 0.83253
-0.26344 0.217644 0.11367 0.932904
0 0 0 1
